MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,FAIL
3,FAIL
4,EXC
5,LIVE
6,FAIL
7,LIVE
8,FAIL
9,LIVE
10,LIVE
11,EXC
12,LIVE
13,EXC
14,EXC
15,LIVE
16,LIVE
17,FAIL
18,LIVE
19,FAIL
20,FAIL
21,EXC
22,FAIL
23,FAIL
24,FAIL
25,EXC
26,EXC
27,EXC
28,FAIL
29,FAIL
30,EXC
56,LIVE
57,LIVE
58,FAIL
59,LIVE
60,FAIL
61,LIVE
62,LIVE
63,LIVE
64,FAIL
65,LIVE
66,LIVE
67,FAIL
68,LIVE
69,EXC
70,LIVE
71,LIVE
72,EXC
73,LIVE
74,LIVE
76,FAIL
77,LIVE
94,FAIL
95,EXC
96,EXC
97,EXC
98,LIVE
99,LIVE
100,LIVE
101,LIVE
102,EXC
103,FAIL
104,FAIL
105,EXC
106,FAIL
