TestNo,TestName
1,org.jfree.data.xy.junit.DefaultOHLCDatasetTests
2,org.jfree.data.xy.junit.XYSeriesCollectionTests
3,org.jfree.chart.renderer.xy.junit.AbstractXYItemRendererTests
4,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests
5,org.jfree.chart.plot.junit.PolarPlotTests
6,org.jfree.chart.renderer.xy.junit.HighLowRendererTests
7,org.jfree.chart.renderer.xy.junit.ClusteredXYBarRendererTests
8,org.jfree.chart.renderer.xy.junit.XYBlockRendererTests
9,org.jfree.chart.renderer.category.junit.StackedBarRendererTests
10,org.jfree.chart.renderer.xy.junit.CandlestickRendererTests
11,org.jfree.chart.plot.junit.SpiderWebPlotTests
12,org.jfree.chart.renderer.xy.junit.XYBubbleRendererTests
13,org.jfree.chart.renderer.xy.junit.XYDotRendererTests
14,org.jfree.chart.renderer.category.junit.LineAndShapeRendererTests
15,org.jfree.chart.renderer.xy.junit.XYDifferenceRendererTests
16,org.jfree.chart.renderer.category.junit.CategoryStepRendererTests
17,org.jfree.chart.renderer.xy.junit.YIntervalRendererTests
18,org.jfree.chart.axis.junit.ValueAxisTests
19,org.jfree.chart.renderer.category.junit.AreaRendererTests
20,org.jfree.chart.renderer.category.junit.BarRendererTests
21,org.jfree.chart.renderer.category.junit.StackedBarRenderer3DTests
22,org.jfree.chart.renderer.xy.junit.XYStepAreaRendererTests
23,org.jfree.chart.renderer.xy.junit.XYAreaRenderer2Tests
24,org.jfree.chart.plot.junit.PiePlot3DTests
25,org.jfree.chart.renderer.category.junit.LevelRendererTests
26,org.jfree.chart.renderer.xy.junit.XYAreaRendererTests
27,org.jfree.chart.junit.BarChartTests
28,org.jfree.chart.renderer.category.junit.LayeredBarRendererTests
29,org.jfree.chart.junit.StackedAreaChartTests
30,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests
31,org.jfree.chart.renderer.xy.junit.StackedXYBarRendererTests
32,org.jfree.chart.renderer.xy.junit.XYStepRendererTests
33,org.jfree.chart.junit.AreaChartTests
34,org.jfree.chart.junit.BarChart3DTests
35,org.jfree.chart.junit.StackedBarChart3DTests
36,org.jfree.chart.junit.StackedBarChartTests
37,org.jfree.chart.junit.WaterfallChartTests
38,org.jfree.chart.junit.LineChart3DTests
39,org.jfree.chart.renderer.xy.junit.XYBarRendererTests
40,org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests
41,org.jfree.chart.junit.PieChart3DTests
42,org.jfree.chart.junit.ScatterPlotTests
43,org.jfree.chart.renderer.category.junit.IntervalBarRendererTests
44,org.jfree.chart.junit.LineChartTests
45,org.jfree.chart.junit.XYAreaChartTests
46,org.jfree.chart.junit.XYBarChartTests
47,org.jfree.chart.junit.TimeSeriesChartTests
48,org.jfree.chart.junit.XYStepAreaChartTests
49,org.jfree.chart.renderer.xy.junit.StandardXYItemRendererTests
50,org.jfree.chart.renderer.xy.junit.StackedXYAreaRenderer2Tests
51,org.jfree.chart.junit.XYStepChartTests
52,org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests
53,org.jfree.chart.plot.junit.PiePlotTests
54,org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests
55,org.jfree.chart.plot.junit.CombinedDomainXYPlotTests
56,org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests
57,org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests
58,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests
59,org.jfree.chart.plot.junit.CombinedRangeXYPlotTests
60,org.jfree.chart.axis.junit.NumberAxisTests
61,org.jfree.chart.annotations.junit.XYTitleAnnotationTests
62,org.jfree.chart.axis.junit.LogAxisTests
63,org.jfree.chart.junit.GanttChartTests
64,org.jfree.chart.axis.junit.SubCategoryAxisTests
65,org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests
66,org.jfree.chart.junit.XYLineChartTests
67,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests
68,org.jfree.chart.plot.junit.CategoryPlotTests
69,org.jfree.chart.junit.ChartPanelTests
70,org.jfree.chart.plot.junit.XYPlotTests
71,org.jfree.chart.annotations.junit.XYBoxAnnotationTests
72,org.jfree.chart.junit.JFreeChartTests
