1:ROR:>(int,int):!=(int,int):org.jfree.data.xy.XYSeries@setMaximumItemCount(int):227:this.data.size() > maximum |==> this.data.size() != maximum
2:ROR:>(int,int):>=(int,int):org.jfree.data.xy.XYSeries@setMaximumItemCount(int):227:this.data.size() > maximum |==> this.data.size() >= maximum
3:ROR:>(int,int):FALSE(int,int):org.jfree.data.xy.XYSeries@setMaximumItemCount(int):227:this.data.size() > maximum |==> false
4:COR:dataRemoved:TRUE:org.jfree.data.xy.XYSeries@setMaximumItemCount(int):231:dataRemoved |==> false
5:COR:dataRemoved:FALSE:org.jfree.data.xy.XYSeries@setMaximumItemCount(int):231:dataRemoved |==> true
6:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.data.xy.XYSeries@add(org.jfree.data.xy.XYDataItem,boolean):348:item == null |==> false
7:COR:this.autoSort:TRUE:org.jfree.data.xy.XYSeries@add(org.jfree.data.xy.XYDataItem,boolean):352:this.autoSort |==> false
8:COR:this.autoSort:FALSE:org.jfree.data.xy.XYSeries@add(org.jfree.data.xy.XYDataItem,boolean):352:this.autoSort |==> true
9:ROR:<(int,int):!=(int,int):org.jfree.data.xy.XYSeries@add(org.jfree.data.xy.XYDataItem,boolean):354:index < 0 |==> index != 0
10:ROR:<(int,int):<=(int,int):org.jfree.data.xy.XYSeries@add(org.jfree.data.xy.XYDataItem,boolean):354:index < 0 |==> index <= 0
11:ROR:<(int,int):FALSE(int,int):org.jfree.data.xy.XYSeries@add(org.jfree.data.xy.XYDataItem,boolean):354:index < 0 |==> false
12:AOR:-(int,int):%(int,int):org.jfree.data.xy.XYSeries@add(org.jfree.data.xy.XYDataItem,boolean):355:-index - 1 |==> -index % 1
13:AOR:-(int,int):*(int,int):org.jfree.data.xy.XYSeries@add(org.jfree.data.xy.XYDataItem,boolean):355:-index - 1 |==> -index * 1
14:AOR:-(int,int):+(int,int):org.jfree.data.xy.XYSeries@add(org.jfree.data.xy.XYDataItem,boolean):355:-index - 1 |==> -index + 1
15:AOR:-(int,int):/(int,int):org.jfree.data.xy.XYSeries@add(org.jfree.data.xy.XYDataItem,boolean):355:-index - 1 |==> -index / 1
16:COR:this.allowDuplicateXValues:TRUE:org.jfree.data.xy.XYSeries@add(org.jfree.data.xy.XYDataItem,boolean):358:this.allowDuplicateXValues |==> false
