MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,LIVE
3,LIVE
4,FAIL
5,FAIL
6,EXC
7,FAIL
8,FAIL
9,LIVE
10,EXC
11,EXC
12,EXC
13,EXC
14,EXC
15,EXC
16,EXC
17,EXC
18,EXC
19,EXC
20,EXC
21,EXC
22,EXC
23,EXC
24,EXC
25,EXC
26,EXC
27,EXC
28,EXC
29,EXC
30,EXC
31,EXC
32,EXC
33,EXC
34,EXC
35,EXC
36,LIVE
37,LIVE
38,EXC
39,LIVE
40,LIVE
41,LIVE
42,LIVE
43,LIVE
44,EXC
45,EXC
46,EXC
47,EXC
48,EXC
49,LIVE
50,LIVE
51,FAIL
52,LIVE
53,EXC
54,EXC
55,EXC
56,EXC
57,LIVE
58,FAIL
59,LIVE
60,FAIL
61,EXC
62,LIVE
63,LIVE
64,LIVE
65,FAIL
66,LIVE
67,FAIL
68,LIVE
69,EXC
70,LIVE
71,LIVE
72,EXC
73,LIVE
74,LIVE
75,FAIL
76,EXC
77,EXC
78,LIVE
79,EXC
80,LIVE
81,LIVE
82,LIVE
83,EXC
84,LIVE
85,LIVE
86,EXC
87,LIVE
88,LIVE
89,LIVE
90,LIVE
91,EXC
92,LIVE
93,LIVE
94,FAIL
95,FAIL
96,LIVE
97,LIVE
115,FAIL
116,LIVE
117,FAIL
118,FAIL
119,LIVE
120,FAIL
121,FAIL
122,FAIL
123,LIVE
124,LIVE
125,FAIL
126,EXC
127,FAIL
128,LIVE
129,FAIL
130,LIVE
131,LIVE
132,LIVE
133,LIVE
134,EXC
135,LIVE
136,LIVE
137,EXC
138,FAIL
139,LIVE
140,LIVE
141,FAIL
142,FAIL
143,LIVE
144,LIVE
145,LIVE
146,LIVE
147,EXC
148,LIVE
165,LIVE
166,FAIL
167,FAIL
168,LIVE
169,FAIL
170,FAIL
171,FAIL
172,FAIL
173,LIVE
174,LIVE
175,EXC
176,LIVE
177,FAIL
178,FAIL
179,FAIL
180,EXC
181,FAIL
182,FAIL
183,FAIL
184,FAIL
185,FAIL
186,FAIL
187,FAIL
188,FAIL
189,LIVE
190,FAIL
191,LIVE
192,EXC
193,LIVE
194,LIVE
195,EXC
196,EXC
197,FAIL
198,EXC
199,EXC
200,FAIL
201,FAIL
202,FAIL
203,LIVE
204,FAIL
205,FAIL
206,LIVE
207,FAIL
208,FAIL
209,LIVE
210,LIVE
211,LIVE
212,LIVE
213,FAIL
214,FAIL
215,FAIL
216,FAIL
217,FAIL
218,FAIL
219,FAIL
220,FAIL
221,FAIL
222,EXC
223,FAIL
224,FAIL
225,EXC
226,EXC
227,FAIL
228,FAIL
229,EXC
234,LIVE
235,EXC
236,EXC
237,LIVE
242,LIVE
243,EXC
244,LIVE
245,FAIL
246,FAIL
247,LIVE
248,LIVE
249,EXC
250,LIVE
254,FAIL
255,LIVE
256,LIVE
257,EXC
258,LIVE
259,LIVE
260,LIVE
271,LIVE
272,LIVE
273,FAIL
