TestNo,TestName
1,org.apache.commons.math3.util.ContinuedFractionTest
2,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest
3,org.apache.commons.math3.stat.inference.WilcoxonSignedRankTestTest
4,org.apache.commons.math3.stat.inference.OneWayAnovaTest
5,org.apache.commons.math3.special.GammaTest
6,org.apache.commons.math3.stat.inference.ChiSquareTestTest
7,org.apache.commons.math3.stat.inference.TTestTest
8,org.apache.commons.math3.distribution.UniformIntegerDistributionTest
9,org.apache.commons.math3.special.ErfTest
10,org.apache.commons.math3.distribution.WeibullDistributionTest
11,org.apache.commons.math3.special.BetaTest
12,org.apache.commons.math3.distribution.UniformRealDistributionTest
13,org.apache.commons.math3.distribution.CauchyDistributionTest
14,org.apache.commons.math3.stat.inference.TestUtilsTest
15,org.apache.commons.math3.distribution.TriangularDistributionTest
16,org.apache.commons.math3.stat.correlation.SpearmansRankCorrelationTest
17,org.apache.commons.math3.distribution.ExponentialDistributionTest
18,org.apache.commons.math3.distribution.ZipfDistributionTest
19,org.apache.commons.math3.stat.regression.SimpleRegressionTest
20,org.apache.commons.math3.stat.correlation.PearsonsCorrelationTest
21,org.apache.commons.math3.distribution.NormalDistributionTest
22,org.apache.commons.math3.distribution.PascalDistributionTest
23,org.apache.commons.math3.distribution.BetaDistributionTest
24,org.apache.commons.math3.distribution.ChiSquaredDistributionTest
25,org.apache.commons.math3.distribution.TDistributionTest
26,org.apache.commons.math3.distribution.LogNormalDistributionTest
27,org.apache.commons.math3.distribution.GammaDistributionTest
28,org.apache.commons.math3.distribution.HypergeometricDistributionTest
29,org.apache.commons.math3.distribution.PoissonDistributionTest
