MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,EXC
3,LIVE
4,LIVE
5,LIVE
6,EXC
7,FAIL
8,EXC
9,LIVE
10,FAIL
11,FAIL
12,LIVE
13,EXC
14,EXC
15,LIVE
16,FAIL
17,FAIL
18,LIVE
19,FAIL
20,FAIL
21,LIVE
22,LIVE
23,LIVE
24,LIVE
25,FAIL
26,LIVE
27,LIVE
28,FAIL
29,EXC
30,EXC
31,FAIL
32,EXC
33,LIVE
34,FAIL
35,LIVE
36,FAIL
37,FAIL
38,EXC
39,FAIL
40,LIVE
41,FAIL
42,EXC
43,LIVE
44,FAIL
45,LIVE
46,FAIL
47,EXC
48,EXC
49,LIVE
50,EXC
51,EXC
52,LIVE
53,FAIL
54,FAIL
55,LIVE
56,FAIL
57,FAIL
58,FAIL
59,EXC
60,EXC
61,LIVE
62,EXC
63,EXC
64,EXC
65,LIVE
66,EXC
67,LIVE
68,EXC
69,LIVE
70,EXC
71,EXC
72,EXC
73,LIVE
74,EXC
75,FAIL
76,LIVE
77,EXC
78,LIVE
79,EXC
80,EXC
81,LIVE
82,EXC
83,EXC
84,FAIL
85,FAIL
86,FAIL
87,FAIL
88,FAIL
89,FAIL
90,FAIL
91,FAIL
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,FAIL
100,FAIL
101,FAIL
102,FAIL
103,LIVE
104,FAIL
105,FAIL
106,FAIL
107,FAIL
108,FAIL
109,FAIL
110,FAIL
111,FAIL
112,FAIL
113,FAIL
114,LIVE
115,LIVE
116,FAIL
117,EXC
118,LIVE
119,LIVE
120,FAIL
121,FAIL
122,LIVE
123,FAIL
124,EXC
125,EXC
126,LIVE
127,FAIL
128,FAIL
129,EXC
130,EXC
131,FAIL
132,EXC
133,LIVE
134,LIVE
135,LIVE
136,LIVE
137,LIVE
138,LIVE
139,LIVE
140,LIVE
141,LIVE
142,LIVE
143,FAIL
144,FAIL
145,FAIL
146,FAIL
147,LIVE
148,LIVE
149,FAIL
150,LIVE
151,LIVE
152,LIVE
153,LIVE
154,LIVE
155,LIVE
156,EXC
157,LIVE
158,FAIL
159,EXC
160,EXC
161,EXC
162,EXC
163,EXC
164,LIVE
165,LIVE
166,EXC
167,EXC
168,EXC
169,EXC
170,EXC
171,EXC
172,EXC
173,LIVE
174,LIVE
175,LIVE
176,EXC
177,EXC
178,LIVE
179,EXC
180,EXC
181,EXC
182,EXC
183,EXC
184,EXC
185,EXC
186,FAIL
187,LIVE
188,EXC
189,EXC
190,FAIL
191,EXC
192,FAIL
193,FAIL
194,LIVE
195,FAIL
196,LIVE
197,FAIL
198,LIVE
199,FAIL
200,LIVE
201,FAIL
202,LIVE
203,LIVE
204,LIVE
205,LIVE
206,LIVE
207,LIVE
208,LIVE
209,LIVE
210,LIVE
211,LIVE
212,LIVE
213,LIVE
214,FAIL
215,LIVE
216,LIVE
217,LIVE
218,LIVE
219,LIVE
220,LIVE
221,LIVE
222,LIVE
223,LIVE
224,FAIL
225,LIVE
226,LIVE
227,LIVE
228,EXC
229,EXC
230,EXC
231,FAIL
232,EXC
233,EXC
234,LIVE
235,LIVE
239,EXC
240,LIVE
241,LIVE
242,EXC
243,EXC
244,LIVE
245,LIVE
246,FAIL
268,FAIL
269,LIVE
270,LIVE
271,FAIL
